thscode,ths_industry,corp_profile,ths_is_allback_mech_global,the_concept,ah_premium_rate
2228.HK,,晶泰控股有限公司是一家主要从事为制药及材料科学等产业提供药物及材料科学研发解决方案及服务的控股公司。该公司主要经营两个业务。药物发现解决方案业务从事就新型药物发现工作为各类生物技术与制药公司和学术机构提供模块独立解决方案或与之合作。智能自动化解决方案业务从事提供固态研发服务及自动化化学合成服务。该公司在国内和国外市场开展业务。,,"人工智能[HK],创新药[HK],港股成交额前100[HK],脑机接口[HK],机器人概念[HK],联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,非H股内地民营企业,特专科技公司（18C）",
2259.HK,,紫金黄金国际有限公司是一家主要从事黄金及有色金属开采业务的投资控股公司。该公司主要从事黄金及有色金属的勘探、采矿、选矿及销售业务。该公司主要销售金条、合质金及金精矿等产品。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,港股成交额前100[HK],次新股[HK],红筹股,港股无面值公司,港股VIE架构公司",
2396.HK,,"华芢生物科技(青岛)股份有限公司成立于2012年4月24日。公司成立于2012年,是一家总部位于中国的生物制药公司,致力于开发疗法,重点是针对有医疗需求及市场机会的适应症开发蛋白质药物。公司的主攻方向是发现、开发和商业化伤口愈合的疗法,目前为PDGF药物。截至最后实际可行日期,公司的管线包含十款候选产品,其中七款为PDGF候选药物,包括两款核心产品,即用于治疗烧烫伤的Pro-101-1及用于治疗糖足的Pro-101-2,是rhPDGF-BB药物。",,"H股,次新股[HK],生物科技公司（18A）",
2408.HK,,"广州遇见小面餐饮股份有限公司成立于2014年2月14日。公司是中国一家现代中式面馆经营者。公司在中国内地和香港特别行政区经营遇见小面品牌。截至最后实际可行日期,公司的餐厅网络包括中国内地22个城市的451家餐厅及香港特别行政区的14家餐厅。凭藉公司强劲的增长势头,截至最后实际可行日期,公司有115家新餐厅处于开业前筹备中。根据弗若斯特沙利文的资料,就2024年总商品交易额而言,公司为中国第一大川渝风味面馆经营者及第四大中式面馆经营者。此外,在2024年中国前十大中式面馆经营者中,公司2022年至2024年的总商品交易额年复合增长率最高。",,"H股,次新股[HK],H股内地民营企业",
2410.HK,,浙江同源康医药股份有限公司是一家致力于开发及商业化医药产品的中国公司。该公司专注于小分子药物开发，其主要产品包括TY-9591、TY-302和TY-2136。TY-9591是一种第三代EGFR-TKI，对EGFR突变具有抗肿瘤作用。TY-302是一种为治疗乳腺癌及前列腺癌等晚期实体瘤而开发的强效、选择性口服CDK4/6抑制剂。TY-2136b为自主研发、口服ROS1/NTRK抑制剂，用于治疗实体瘤。,,"港股通标的股票,深港通下的港股通标的股票,生物医药B类[HK],联交所指定卖空证券,H股,生物科技公司（18A）",
2431.HK,,深圳佑驾创新科技股份有限公司是一家主要从事提供智能驾驶及智能座舱解决方案的中国公司。该公司主要运营三个业务。智能驾驶解决方案业务从事提供iSafety和iPilot系列。智能座舱解决方案业务从事提供驾驶员监测系统（DMS）解决方案、乘客监测系统（OMS）解决方案和其他解决方案。车路协同业务从事提供雷达和摄像头等自主设计传感器设备、自研算法等。该公司主要在国内市场开展业务。,,"宁德时代概念[HK],智能物流[HK],新能源汽车[HK],人工智能[HK],联交所指定卖空证券,无人驾驶[HK],深港通下的港股通标的股票,港股通标的股票,H股内地民营企业,H股",
2432.HK,,"深圳市越疆科技股份有限公司成立于2015年7月30日。公司是专门从事协作式机器人(通称‘协作机器人’)开发、制造及商业化的领先企业之一。根据灼识咨询报告,按2023年的出货量计,公司在全球协作机器人行业中排名前二,并在中国所有协作机器人公司中排名第一,全球市场份额为13.0%。全球协作机器人行业正处于发展初期,按收入计,其于2023年的市场规模占全球机器人行业不足2%。根据同一资料来源,按2023年全球协作机器人收入计,公司在全球协作机器人行业中排名第七,全球市场份额为3.6%。凭藉公司的自有全栈协作机器人开发技术以及关键部件的自研设计及开发,公司在负载能力、轴型及使用场景方面提供协作机器人产品组合,可满足客户在各种使用场景的不同需求。公司专注于行业创新,尤其是在协作机器人安全措施及AI功能方面引入柔性电子皮肤技术SafeSkin,并推出由AI协作机器人赋能平台X-Trainer支持的AI赋能协作机器人。截至最后可行日期,公司推出4个系列共27款协作机器人型号,可满足制造、零售、医疗健康、STEAM教育、科研等众多领域的大量使用场景。",,"联交所指定卖空证券,机器人概念[HK],港股通标的股票,深港通下的港股通标的股票,H股,H股内地民营企业,特专科技公司（18C）",
2438.HK,,出门问问有限公司是一家主要从事人工智能（AI）技术开发和智能设备销售的中国公司。该公司经营两个分部。AI软件解决方案分部主要以生成式AI与语音交互为核心，提供AIGC解决方案和AI企业解决方案。智能设备及其他配件分部主要从事智能设备及相关零配件的销售。该公司主要在国内市场开展其业务。,,"DeepSeek概念[HK],港股VIE架构公司",
2443.HK,,汽车街发展有限公司是一家主要从事提供二手车交易服务的中国投资控股公司。该公司主要经营五大业务。二手车拍卖业务透过旗下交易平台以同步拍及线上拍两种拍卖形式促成二手车交易。二手车加值服务主要专注于为上游卖家的二手车置换交易提供便利。二手车收销安排业务主要旨在协助经销商集团开展二手车业务，同时补充交易平台上的二手车供应量。展会业务主要包括为经销商集团和主机厂主办车展和展览会，以及偶尔提供广告服务。其他业务包括提供新车办证过户服务及全球定位系统（GPS）安装服务。,,"联交所指定卖空证券,非H股内地民营企业,港股VIE架构公司",
2453.HK,,美中嘉和医学技术发展集团股份有限公司是一家主要从事为肿瘤患者提供医疗服务的中国公司。该公司通过两个分部开展其业务。医院业务分部通过自营医疗机构服务癌症患者。医用设备、软件及相关服务分部从事销售及安装医用设备及软件、管理及技术支持及经营租赁业务。该公司主要在国内市场开展其业务。,,"H股,H股内地民营企业",
2460.HK,,华润饮料(控股)有限公司是一家主要从事包装饮用水产品及饮料产品的制造和销售的公司。该公司的主要产品包括包装饮用水、茶饮料及果汁类饮料等即饮软饮产品。该公司的主要品牌包括“怡宝”、“至本清润”、“蜜水系列”、“假日系列”及“佐味茶事”。该公司主要在中国国内开展业务。,,"零售股[HK],非酒精饮料[HK],深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,红筹股",
2465.HK,,江苏龙蟠科技集团股份有限公司的主营业务是磷酸铁锂正极材料和车用环保精细化学品的研发、生产和销售。公司的主要产品是磷酸铁锂正极材料、车用环保精细化学品。凭借在汽车环保和绿色新能源核心材料领域的突出贡献，以及卓越的产品质量和服务，公司连续获得多项行业荣誉：旗下润滑油产品连续多年获评“中国润滑油十大品牌”，彰显了公司在车用环保精细化学品领域的市场地位和品牌影响力；2025年5月，龙蟠润滑油荣获零跑汽车颁发的十年“风雨同舟”合作伙伴奖；2025年汽车供应链新生态大会上，公司荣获“技术创新生态伙伴奖”；2025高工新能源新材料产业大会上，常州锂源荣获“2025新能源新材料创新企业”；此外公司还获得前程无忧“2025杰出雇主”奖。这些成就标志着公司在绿色化学与新能源材料领域的综合竞争力持续提升。,,"比亚迪概念[HK],数据中心[HK],固态电池[HK],港股通标的股票,深港通下的港股通标的股票,H股,H股内地民营企业",
2476.HK,,胜宏科技(惠州)股份有限公司的主营业务是高密度印制线路板的研发、生产和销售。公司的主要产品是刚性电路板（多层板和HDI为核心）、柔性电路板（单双面板、多层板、刚挠结合板）。公司于2015年通过GB/T29490-2023《知识产权合规管理体系》体系认证。拥有省级工程研发中心和企业技术中心。公司（含子公司）拥有专业1700多名研发人员，科研实力雄厚，拥有线路板领域有效专利381项，其中发明专利194项（含PCT3项，国外授权5次）、实用新型专利184项（含境外3项）；境内软件著作权20项，累计还在持续投入的研发项目共87个。公司先后被评为“国家高新技术企业”、“国家知识产权优势企业”、“广东省知识产权示范企业”、“广东省自主创新标杆企业”、“第五届中国电子电路行业优秀企业”，荣获第二十届至第二十三届中国专利优秀奖；累计获评为广东省高新技术产品45个，其中名优高新技术产品16项；获得市级科技成果登记7项。2023年我司入选首批“千企百城”商标品牌价值提升行动商标品牌名单，荣获2023年广东省省级制造业单项冠军，“胜宏科技”文字商标入选2023年广东省重点商标保护名录。,,"深港通下的港股通标的股票,港股通标的股票,港股成交额前100[HK],H股,H股内地民营企业,次新股[HK]",
2477.HK,,经纬天地控股有限公司是一家主要从事电信网路服务的公司。该公司在电信市场中提供多种服务。无线电信网络优化服务主要包括常规电信网络优化服务和特定电信网路优化服务。电信网路基础设施维护及工程服务包括检查及分析所发现问题、执行必要的维修或维护工作，提供劳动力及工程服务等。信息及通信技术（ICT）集成服务包括定制客户的电脑系统设计，采购设备、硬件及软件，聘用第三方分包商等。该公司还从事电信网络相关软件开发及相关服务，软件销售，加密支付及金融科技业务。,,"港股通标的股票,深港通下的港股通标的股票,联交所指定卖空证券,非H股内地民营企业",
2479.HK,,"天聚地合(苏州)科技股份有限公司是一家主要从事应用程序编程接口（API）数据流通服务业务的公司。该公司的主营业务包括提供API市场服务及数据管理解决方案。该公司通过API市场提供的API主要包括查询检索数据结果，如身份认证、手机在网状态、在网时长、公司信息及天气情况等若干公开信息,短信通知提醒、状态更新和推广和充值即主要为手机充值。数据管理解决方案主要向企业及政府机构提供，包括外部数据管理、数据处理和数据流通。",,"H股内地民营企业,H股",
2493.HK,,迈威(上海)生物科技股份有限公司的主营业务是研发、生产以及销售创新型药物和生物类似药。公司的主要产品是抗体、ADC药物和重组蛋白、小分子化学药等药物。,,"港股通标的股票,H股,次新股[HK],深港通下的港股通标的股票,生物科技公司（18A）",
2495.HK,,声通科技股份有限公司是一家主要提供信息技术（IT）解决方案服务的中国公司。该公司的主要业务为提供本地集成交互式人工智能（AI）解决方案，包括软件许可、硬件及服务。该公司主要为企业级用户提供服务，向多个终端客户行业（包括城市管理及行政、汽车及交通、通信及金融）提供解决方案。该公司的产品包括长期演进语音承载（VoLTE）视频客服、互联网视频客服、智能视频巡检平台和数字人一体机。,,H股,
2497.HK,,富景中国控股有限公司是一家主要从事盆栽蔬菜农产品种植及销售的中国公司。该公司的产品主要包括茼蒿、油菜、苦菊、油麦菜、小白菜、生菜、山芹及乌塌菜等叶菜品种。该公司的产品主要以“富景农业”品牌于市场上供应。该公司主要在国内市场开展其业务。,,非H股内地民营企业,
2498.HK,,速腾聚创科技有限公司是一家以人工智能（AI）驱动的机器人技术公司。该公司的业务主要包括销售应用于高级驾驶辅助系统（ADAS）机器人及其他非汽车行业（如清洁、物流、工业、公共服务及检验等）的激光雷达硬件产品，销售整合激光雷达硬件及人工智能感知软件的激光雷达感知解决方案，以及提供技术开发及其他服务。该公司主要在中国国内和海外市场开展业务。,,"比亚迪概念[HK],无人驾驶[HK],联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,非H股内地民营企业",
2503.HK,,中深建业控股有限公司是一家主要从事建设总承包和分包的控股公司。该公司的服务涵盖建筑工程项目、市政公用工程项目、地基基础工程项目及专业承包工程项目。建筑工程项目主要包括结构及土木工程，例如商业及住宅楼宇以及社区设施的建筑、打桩、拆除及工地平整。市政公用工程项目主要包括所有城乡公共基础设施建设，包括环境改善工程、污水处理基础设施建设以及道路工程。地基基础工程项目主要包括土方及地基建设以及护坡工程。专业承包项目主要包括楼宇装修及装潢工程服务。,,非H股内地民营企业,
2505.HK,,EDA集团控股有限公司是一家中国控股公司，主要提供一站式端到端供应链解决方案。该公司的一站式端到端解决方案涵盖国际货运服务以及履行服务。该公司的解决方案包括跨境物流、海外仓储以及履行和交付服务。,,非H股内地民营企业,
2506.HK,,讯飞医疗科技股份有限公司是一家主要从事提供人工智能赋能的医疗解决方案的中国公司。基层医疗服务业务线由智医助理及慢病管理组成。医院服务业务线包括智慧医院解决方案和诊疗助理。患者服务业务线包括智慧医院患者服务与诊后管理（包括讯飞晓医App及小程序）、影像云平台以及医疗器械。区域管理平台解决方案业务线包括智慧卫生解决方案和智慧医保。该公司主要在国内市场开展业务。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,人工智能[HK],智能医疗[HK],H股,H股内地民营企业",
2507.HK,,西锐飞机有限公司主要面向零售客户，包括三种型号：SR20、SR22和SR22T，具有针对机队和其他特定应用的专用配寘。Vision Jet，其单引擎喷射机主要面向零售客户，在较小程度上用于包机运营。它集成了先进的科技，如CAPS（全机身飞机降落伞）、Cirrus IQ（连接的数位平台和移动应用程序，在飞行过程中收集一系列飞行数据和飞机数据，为飞行员提供飞机上的有用数据）和Vision Jet上的安全返回（紧急自动著陆系统）。它还为特定目的个性化和定制飞机，例如用于机构飞行训练或包机等。,,"港股通标的股票,深港通下的港股通标的股票,联交所指定卖空证券,红筹股",
2508.HK,,圣贝拉集团有限公司是一家主营母婴业务的公司。该公司经营三大主要业务线，即月子中心（包括产后护理服务及产后修复服务）、家庭护理服务及食品。该公司通过三个品牌开展月子中心服务，包括“圣贝拉”、“艾屿”和“小贝拉”。其家庭护理服务包括家庭儿童护理服务和养老护理服务。该公司还提供规模化食品组合，品牌为广禾堂（专注于传统食品品牌）。该公司的其他品牌包括“予家”、“产后研修所”，以及“S-bra”品牌（内衣产品系列）。,,"非H股内地民营企业,次新股[HK]",
2509.HK,,江苏荃信生物医药股份有限公司是一家主要从事生物制药的中国公司。该公司主要从事自体免疫及过敏性疾病生物疗法的生物科技研发。该公司业务主要涵盖四大疾病领域，包括皮肤、风湿、呼吸道及消化道疾病。该公司正在研发的项目有8个，目标适应症包括干癣、异位性皮肤炎、类风湿性关节炎、发炎性肠道疾病、气喘等。该公司核心产品有QX002N和QX005N。,,"联交所指定卖空证券,H股内地民营企业,H股,生物科技公司（18A）",
2510.HK,,德翔海运有限公司是一家专注于亚太地区的货柜航运公司，船队由自有船舶及租用船舶组成。该公司独立营运航运网络，另亦通过与其他承运人订立的安排（包括联营航线服务、舱位互换及舱位租赁）营运。主要提供由中国大湾区出发的航线服务，货柜航线网络主要包括亚太地区、跨太平洋市场以及亚欧-欧洲市场。采用班轮航线模式，透过指定的港口轮流经营定期航运服务。,,"联交所指定卖空证券,物流[HK],深港通下的港股通标的股票,港股通标的股票,港股无面值公司",
2512.HK,,云工场科技控股有限公司是一家主要提供互联网数据中心（IDC）解决方案服务、边缘计算服务以及信息通信技术（ICT）服务及其他服务的中国公司。互联网数据中心解决方案服务包括托管服务及基础设施管理服务。边缘计算服务包括CDN服务、EdgeAIoT服务及传统上以硬件为中心的设备所提供的其他边缘功能。ICT服务及其他服务包括向客户提供信息通信技术解决方案、系统开发及维护、咨询服务以及提供云计算硬件资源。,,"非H股内地民营企业,港股VIE架构公司",
2513.HK,,"北京智谱华章科技股份有限公司成立于2019年6月11日。公司是中国领先的人工智能公司,致力于开发通用大模型。2019年,公司秉承着在中国追求通用人工智能(AGI)创新的大胆理念而创立。公司于全方位的人工智能研究中扎实交付先进技术,并稳步扩大其商业应用,以实现收入的快速增长。2021年,公司发布了中国首个专有预训练大模型框架GLM框架,并推出了公司的模型即服务(MaaS)产品开发及商业化平台,透过该平台提供公司的大模型服务。于2022年,公司开源首个1,000亿规模的模型(GLM-130B)。公司运营于大语言模型(LLM)市场,其为更广泛AI市场的一个细分领域。公司为机构客户(包括私营企业及公共行业实体)及个人用户(包括个人终端用户及独立开发者)提供通用大模型服务。截至2025年6月30日,公司的模型已为逾八千家机构客户提供支持,截至最后实际可行日期,已为约80百万台设备提供支持。根据弗若斯特沙利文的资料,按2024年的收入计,公司在中国独立通用大模型开发商中位列第一,在所有通用大模型开发商中位列第二,市场份额为6.6%。",,"联交所指定卖空证券,AIGC概念[HK],港股成交额前100[HK],H股,人工智能[HK],次新股[HK],特专科技公司（18C）",
2515.HK,,天津建设发展集团股份公司是一家主要提供全面的工程施工服务的中国公司。该公司主要从事工程施工业务，涵盖主要包括道路工程及交通设施工程的市政公用工程，主要包括地基基础建设工程及土方工程的地基基础工程，主要包括建筑装饰装修及智汇建筑工程的建筑工程，以及主要包括加油站升级及改造、管道安装以及油罐大修项目的石油化工工程。该公司主要在中国国内开展业务。,,"H股内地民营企业,H股",
2519.HK,,傲基(深圳)跨境商务股份有限公司主营业务是销售商品及提供物流解决方案，当中包括仓储服务、快递及货运服务以及相关增值服务。该公司透过两个分部运营其业务。销售货物分部从事家具家居类产品、电动工具类及家用电器类产品、消费电子类等产品的销售。物流分部从事提供物流解决方案，包括中国国内集运、头程国际货运服务、海外转运、海外仓储及订单派送。该公司透过专有品牌“ALLEWIE”、“IRONCK”、“LIKIMIO”、“SHA CERLIN”、“HOSTACK”及“FOTOSOK”来分销其家具家居类产品。该公司在国内和国外市场开展业务。,,H股,
2522.HK,,江西一脉阳光集团股份有限公司是一家主要从事医学影像专科医疗业务的中国公司。该公司主要提供医学影像服务及解决方案。该公司经营三个分部。影像中心服务通过旗舰型影像中心为患者及其他医疗保健消费者提供影像检查及诊断服务。影像解决方案服务主要帮助医院等医疗机构客户选择及采购满足他们发展需要的合适影像设备，以及提供一系列配套模块化解决方案。一脉云服务为影像中心服务业务发展、信息化管理及数据驱动运营提供支撑。,,"联交所指定卖空证券,H股内地民营企业,H股",
2525.HK,,禾赛科技是一家主要从事提供叁维激光雷达（LiDAR）解决方案的控股公司。该公司的主要业务包括设计、开发、制造及销售激光雷达产品。该公司的主要产品包括AT系列、ET系列及FT系列等。该公司的产品应用于支持高级驾驶辅助系统（ADAS）的乘用车和商用车，自动驾驶汽车及机器人领域。该公司在国内市场和海外市场开展业务。,,"深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,非H股内地民营企业,次新股[HK],同股不同权公司",
2526.HK,,"杭州德适生物科技股份有限公司成立于2016年9月19日,是一家专注于开发医学影像产品及服务的医疗器械公司。公司已开发出多元化的产品组合，可有效提升诊断效率及服务质量，包括：(i)六款医学影像软件产品，包括注册阶段核心产品AI Auto Vision、一款商业化产品AutoVision，以及四款临床前阶段候选产品；(ii)三款商业化医疗设备；及(iii)四款主要试剂及耗材。核心产品AI Auto Vision是一款染色体核型辅助诊断软件，专为执行染色体核型智能分析而设计，公司计划在中国及全球范围内通过提供预装软件的定制计算机销售该软件。AI Auto Vision的预期适应症为(i)采用羊水样本进行出生缺陷产前诊断；及(ii)采用外周血样本进行辅助生殖诊断的染色体核型分析。其拟获准用于出生缺陷预防、婚前及孕前筛查及辅助生殖等领域。",,"H股内地民营企业,次新股[HK],H股,生物科技公司（18A）",
2529.HK,,泓盈城市运营服务集团股份有限公司是一家主要从事提供城市服务和营运业务的中国公司。该公司主要透过三个分部来经营其业务。物业管理服务分部主要为商业物业、住宅物业及公共物业提供管理及营运服务。城市服务分部主要提供照明系统营运服务、市政环卫服务、园艺及工程服务、停车场营运服务、停车场转租。商业营运服务分部主要提供商业营运服务，如招租服务、租户管理、收租服务及商业物业转租等。,,"H股,H股内地民营企业",
2530.HK,,纽曼思健康食品控股有限公司是一家主要从事销售，包括营销、销售及分销营养品的投资控股公司。该公司以“纽曼思”及“纽曼斯”品牌销售其营养品。该公司的产品可分为五个主要类别，即藻油二十二碳六烯酸（DHA）、益生菌、维生素、多维营养素及藻钙产品。该公司营养品主要针对孕妇及产后妇女、婴儿及儿童。该公司主要在国内市场开展其业务。,,"非H股内地民营企业,港股VIE架构公司",
2531.HK,,广联科技控股有限公司是一家主要提供汽车相关产品及服务的投资控股公司。该公司主要面向汽车后市场行业参与者提供车载硬件以及软件即服务（SaaS）营销及管理服务。该公司主要从事销售车载硬件产品和提供SaaS营销及管理服务，包括SaaS订阅服务及SaaS增值服务。车载硬件产品包括车载娱乐系统产品、车载安全系统产品及嵌入专有软件的智能核心板。该公司主要在国内市场开展业务。,,"非H股内地民营企业,港股VIE架构公司",
2533.HK,,黑芝麻智能国际控股有限公司是一家主要从事提供车规级计算系统级芯片（SoC）及基于SoC的智能汽车解决方案的公司。该公司的主要产品包括车规级SoC，例如华山系列和武当系列。该公司还提供软件，例如操作系统支持、瀚海自动驾驶解决方案平台（ADSP）中间件和感知算法。该公司主要在国内市场开展业务。,,"联交所指定卖空证券,无人驾驶[HK],深港通下的港股通标的股票,港股通标的股票,非H股内地民营企业,特专科技公司（18C）",
2535.HK,,泓基集团(控股)有限公司是一家主要从事钢结构工程业务的投资控股公司。 该公司主要从事提供钢结构制造和成型、钢结构安装业务。 此外，该公司也从事结构钢定制及其他钢材供应业务。,,非H股内地民营企业,
2536.HK,,百乐皇宫控股有限公司是一间主要从事博彩业务的控股公司。该公司透过两个部门运营其业务。 博彩营运部门从事赌场和度假村的运营，提供老虎机和桌面游戏。酒店及餐饮营运分部从事饭店、餐饮及相关服务的营运。,,非H股内地民营企业,
2539.HK,,"乐摩科技服务股份有限公司成立于2014年5月29日。公司透过位于中国各地人流密集的公共场所的各服务网点的机器按摩设备提供按摩服务。根据弗若斯特沙利文的资料,于2022年至2024年的三个连续年度,按交易额计,公司在中国所有机器按摩服务提供商中排名第一,相应年度的市场份额分别为33.9%、37.3%及42.9%。按收入计,于2024年,公司亦于中国机器按摩市场排名第一,市场份额超过50.0%。于2024年12月31日,中国有10,000余名按摩服务提供商,其中50余名为机器按摩服务提供商。根据弗若斯特沙利文的资料,按交易额计,2024年中国机器按摩服务市场规模(即人民币27亿元)占2024年中国整体按摩市场(即人民币5,362亿元)的约0.5%。按交易额及收入计,于2024年,集团在整体按摩市场的市场份额约为0.2%。公司于2016年推出‘乐摩吧’品牌,致力于在商业综合体、影院、交通枢纽场所(包括机场、高铁站等)等消费场景为消费者提供机器按摩服务。于最后实际可行日期,公司已为机器按摩服务设立超过48,000个服务网点,投放超过533,000张机器按摩设备,覆盖中国31个省级行政区及337个城市。公司的服务网点由2022年12月31日的21,727个服务网点扩展至2024年12月31日的45,993个服务网点,CAGR约为45.49%。在消费者覆盖方面,公司拥有稳固的市场地位,于最后实际可行日期,累计可识别服务消费者总数超过1.74亿,注册会员人数超过4,000万名。",,"H股,H股内地民营企业,次新股[HK]",
2540.HK,,乐思集团有限公司是一家主要提供移动广告服务的投资控股公司。该公司的服务包括移动广告解决方案服务及广告（ad）分发服务。移动广告解决方案服务主要包括移动营销规划、流量获取、广告素材制作、广告投放、广告优化、广告活动管理及广告分发。广告分发服务包括购买广告空间和广告分发。该公司主要通过媒体发布商运营的媒体平台投放广告，包括搜寻引擎平台、短视频平台及社交媒体平台。该公司的客户主要涵盖科技及互联网服务、金融服务及游戏行业。,,非H股内地民营企业,
2543.HK,,大行科工(深圳)股份有限公司是一家主要从事开发、设计、制造和行销的折叠自行车和相关配件的中国公司。该公司产品涵盖折叠自行车以及其他类型的自行车，包括公路车、登山车、儿童车和电助力自行车。该公司经营“Dahon”品牌。该公司主要在中国国内和海外市场开展业务。,,"次新股[HK],H股内地民营企业,H股",
