thscode,holder_held_num,holder_held_ratio,holder_held_shares_nature,hks_held_num
0068.HK,Wintermatch International Limited,238000000.0,14.0,
0100.HK,Alpha EXP Limited,62593180.0,19.96,
0300.HK,美的控股有限公司,2169178713.0,28.55,
0325.HK,Next Bloks Limited,110639460.0,44.39,
0470.HK,拉萨欣导创业投资有限公司,336039506.0,20.08,
0501.HK,虞仁荣,303472250.0,24.17,
0600.HK,嘉兴智芯元智企业管理合伙企业(有限合伙),43104726.0,7.32,
0638.HK,张天瑜,281512495.0,31.3,
0664.HK,俞光,14971100.0,23.24,
0699.HK,均胜集团有限公司,520669101.0,33.57,
0800.HK,Alliance Ventures B.V.,63680080.0,6.2,
0805.HK,Snowy Limited,701065554.0,73.03,
0917.HK,Beyond Branding Limited,72294252.0,27.21,
0999.HK,XCY Yongqing Limited,429714000.0,36.52,
1021.HK,四川智人团企业管理合伙企业(有限合伙),113107850.0,20.81,
1187.HK,长沙械字号医疗投资有限公司,85079923.0,36.07,
1236.HK,周伟,61637700.0,18.49,
1276.HK,江苏恒瑞医药集团有限公司,1538184187.0,23.18,
1304.HK,峰岹科技(香港)有限公司,35154431.0,30.61,
1318.HK,毛戈平,174520000.0,35.6,
1333.HK,上海方翱商务咨询合伙企业(有限合伙),84502397.0,21.69,
1334.HK,Lady Jing Limited,164171263.0,32.83,
1354.HK,西安经发集团有限责任公司,45000000.0,67.5,
1364.HK,Modern Leaves Limited,942081661.0,39.61,
1384.HK,赵杰辉,49468200.0,15.14,
1471.HK,青岛海盈汇管理咨询有限公司,56000000.0,39.66,
1511.HK,,,,
1609.HK,董文兴,15382400.0,28.05,
1641.HK,红星实业集团有限公司,43690535.0,44.46,
1768.HK,晏周,51504319.0,23.64,
1828.HK,PCGI Holdings Limited,416631903.0,32.65,
1879.HK,上海有光熠辉企业管理合伙企业(有限合伙),8583458.0,9.33,
1989.HK,广州臻蕴投资有限公司,171142853.0,36.22,
2026.HK,彭军,57978000.0,13.37,
2050.HK,三花控股集团有限公司,948487077.0,22.54,
2097.HK,张红甫,153997224.0,40.57,
2228.HK,QuantumPharm Roc Holdings Limited,234083018.0,5.44,
2259.HK,金山(香港)国际矿业有限公司,1729000000.0,64.6,
2396.HK,贾丽加,19540937.0,16.61,
2408.HK,淮安市创韬企业管理合伙企业(有限合伙),300800000.0,42.33,
2410.HK,郑州泰基鸿诺医药股份有限公司,99787500.0,26.26,
2431.HK,刘国清,34333503.0,8.16,
2432.HK,刘培超,93913016.0,21.35,
2438.HK,Mobvoi AGI Limited,375862577.0,24.27,
2443.HK,昌广投资有限公司,100000000.0,12.01,
2453.HK,医学之星(上海)融资租赁有限公司,192415636.0,24.55,
2460.HK,华润集团(饮料)有限公司,1200000000.0,50.04,
2465.HK,石俊峰,214744595.0,31.34,
2476.HK,深圳市胜华欣业投资有限公司,134837190.0,13.92,
2477.HK,恒峰国际控股有限公司,299000000.0,29.9,
2479.HK,左磊,19744192.0,39.4,
2493.HK,朗润(深圳)股权投资基金企业(有限合伙),140560000.0,31.46,
2495.HK,湖北声通融智技术集团有限公司,5093558.0,12.84,
2497.HK,Silver Glory Technology Limited,273636275.0,54.73,
2498.HK,BlackPearl Global Limited,49367683.0,10.19,
2503.HK,中深亨泰资本有限公司,284172240.0,24.83,
2505.HK,EDA Shine International Limited,152295000.0,34.16,
2506.HK,科大讯飞股份有限公司,59738145.0,49.42,
2507.HK,中航通飞香港有限公司,293463318.0,80.18,
2508.HK,Primecare International Holdings Limited,191219400.0,30.73,
2509.HK,杭州荃毅投资管理合伙企业(普通合伙),40000000.0,17.62,
2510.HK,Vision Investments Limited,618902420.0,37.17,
2512.HK,"Ru Yi Information Technology Co., LTD",177907500.0,35.16,
2513.HK,北京链湃科技发展中心(有限合伙),34038390.0,7.63,
2515.HK,盛源集团控股(天津)有限公司,110830940.0,42.8,
2519.HK,陆海传,70783101.0,17.05,
2522.HK,江西赣江新区一脉阳光企业管理中心(有限合伙),57798588.0,14.41,
2525.HK,Fermat Star Limited,9228622.0,5.87,
2526.HK,宋宁,24293507.0,27.33,
2529.HK,长沙城市发展集团有限公司,114000000.0,71.25,
2530.HK,远东财富管理(中国)有限公司,750000000.0,75.0,
2531.HK,ZH-tendency Inc.,79171530.0,21.6,
2533.HK,单记章,44100000.0,6.19,
2535.HK,WK (BVI) Limited,780000000.0,39.0,
2536.HK,Ample Bonus Limited,577700000.0,71.62,
2539.HK,谢忠惠,10487769.0,18.9,
2540.HK,Ka Lok Holdings Limited,356250000.0,71.25,
2543.HK,韩德玮,21032165.0,64.14,
2545.HK,GT & Yangtze Limited,359444530.0,56.16,
2546.HK,西藏智峰实业有限公司,198000000.0,40.59,
2549.HK,Yili Investment Holdings Ltd,408258100.0,73.56,
2550.HK,Growth Value LTD.,106855884.0,23.64,
2551.HK,微晶先进光电科技有限公司,202307876.0,37.66,
2555.HK,四川恒盛合瑞实业集团有限公司,900000000.0,60.9082,
2556.HK,Precious Sight Limited,59680400.0,23.28,
2559.HK,5brothers Limited,320546403.0,31.48,
2560.HK,安徽海螺科创材料有限责任公司,211470000.0,36.47,
2561.HK,Vivo Plenilune IX Limited,37167064.0,32.62,
2562.HK,阿里巴巴新加坡控股有限公司,38759087.0,8.46,
2563.HK,Baygen QT Inc.,40505885.0,11.11,
2565.HK,Michael MIN XU,58081874.0,14.85,
2566.HK,杭州中美华东制药有限公司,42120453.0,17.16,
2567.HK,Dream Galaxy Holdings Limited,329861880.0,16.48,
2569.HK,"Softo Co., Ltd",442125000.0,44.21,
2570.HK,林琦,11834272.0,13.34,
2571.HK,空格科技(北京)有限公司,30169382.0,22.63,
2573.HK,深圳市新琪安实业发展有限公司,35159054.0,36.54,
2575.HK,轩竹(香港)医药科技有限公司,215294494.0,41.57,
2576.HK,赵璐,93042388.0,16.5,
2577.HK,深圳市招银成长拾柒号股权投资基金合伙企业(有限合伙),97804824.0,10.69,
2579.HK,湖南中伟控股集团有限公司,481600000.0,46.21,
2580.HK,奥克斯控股集团有限公司,1300921250.0,81.91,
2581.HK,佳世达科技股份有限公司,108555081.0,34.8,
2582.HK,张家港新云科技产业咨询企业(有限合伙),18827916.0,15.68,
2583.HK,李永忠,9900833.0,16.83,
2585.HK,王忠善,64760000.0,23.72,
2586.HK,Celestial Limited,423470475.0,45.71,
2587.HK,丰基有限公司,296936835.0,33.83,
2589.HK,上海璞海企业管理有限公司,47090996.0,44.76,
2590.HK,Marcasite Gem  Holdings Limited,137520423.0,10.28,
2591.HK,Wang Qinghua,46219556.0,10.12,
2592.HK,Water Lily Consultants,221149197.0,26.18,
2593.HK,Joy & Love Limited,90000000.0,67.5,
2595.HK,健发药业(香港)有限公司,43724650.0,11.81,
2596.HK,四川省宜宾五粮液集团有限公司,779610000.0,16.99,
2597.HK,朴圣根,24984600.0,20.52,
2598.HK,杭州创连致新投资合伙企业(有限合伙),172217799.0,15.36,
2603.HK,庄浩,69623082.0,15.46,
2605.HK,Cheering Venture Global Limited,23439957.0,15.19,
2609.HK,Bayway Fund L.P.,682266228.0,51.75,
2610.HK,Nanshan Aluminium Investment Holding Limited,353454455.0,59.96,
2613.HK,周洋,9787500.0,24.47,
2617.HK,南京益镤生物科技合伙企业(有限合伙),54726152.0,13.79,
2619.HK,潘允,110659509.0,40.55,
2621.HK,Little Blue Light Ltd,59955200.0,26.48,
2625.HK,高峰,26292302.0,11.16,
2627.HK,江苏粜宇科贸有限公司,112743611.0,28.66,
2629.HK,Central Road Holdings Limited,50608154.0,18.31,
2630.HK,沈敬山,82461110.0,49.2,
2631.HK,宗艳民,129302726.0,26.68,
2632.HK,扬州泽芜企业管理合伙企业(有限合伙),9771438.0,7.92,
2635.HK,廖峪,11175039.0,29.51,
2637.HK,康心汕,12752264.0,16.2,
2643.HK,Ugo Investment Limited,414971000.0,73.41,
2648.HK,福建国力民生科技发展有限公司,73321219.0,22.0,
2649.HK,孙延安,36093750.0,39.96,
2650.HK,黄志明,15063372.0,25.19,
2651.HK,湖北中山医疗投资管理有限公司,31324102.0,63.44,
2652.HK,苏州岭头投资管理企业(有限合伙),26129045.0,6.3,
2655.HK,海南虚鼎信息管理咨询有限公司,138240000.0,27.01,
2656.HK,Luo Holdings Limited,102912905.0,30.59,
2657.HK,孙来春,48026645.0,34.39,
2658.HK,李锡光,105517013.0,26.8308,
2659.HK,刘彦君,61086145.0,18.74,
2661.HK,QingSongChou Holdings Corporation,43038800.0,20.85,
2665.HK,Honour Key Limited,124323359.0,9.57,
2670.HK,支涛,15066934.0,21.6,
2671.HK,博盛国际(集团)有限公司,67966962.0,56.38,
2675.HK,高元倩,120068806.0,30.64,
2676.HK,王升杨,15487920.0,9.58,
2677.HK,Cheuk Sing Ho Investment Limited,15314282.0,23.71,
2685.HK,Mars Legend Limited,157713354.0,30.62,
2687.HK,王晖,14353020.0,21.53,
2691.HK,横店集团控股有限公司,425120900.0,59.23,
2692.HK,深圳前海兆威投资有限公司,85120000.0,31.82,
2693.HK,淮北矿业(集团)有限责任公司,41820759.0,43.03,
2695.HK,武夷山文化旅游有限公司,74331429.0,51.6,
2698.HK,Century Industry Limited,331739500.0,53.55,
2701.HK,孙迎彤,15453300.0,2.28,
2706.HK,北京海阔分享商务咨询合伙企业(有限合伙),39495420.0,9.86,
2714.HK,秦英林,2086287906.0,36.37,
2715.HK,南京派雷斯特科技有限公司,254894742.0,26.34,
2718.HK,意像架构投资(香港)有限公司,27802452.0,19.11,
2720.HK,GreatCast International Limited,88062400.0,68.69,
2726.HK,赵建辉,116560399.0,27.39,
2729.HK,顺丰科技有限公司,33081120.0,7.73,
2768.HK,王爱国,126000000.0,41.83,
2788.HK,Bloomsbury Holding Limited,1500000000.0,72.29,
2865.HK,海南锦迪科技投资有限公司,46517062.0,15.9,
2881.HK,Vastocean Capital Limited,50150842.0,53.75,
2889.HK,应臻恺,32295581.0,21.53,
2898.HK,Sunho Wisdom Investments Limited,88000000.0,56.17,
3200.HK,大族激光科技产业集团股份有限公司,355868100.0,73.6,
3268.HK,王平,102417560.0,33.91,
3277.HK,王欣洋,101217000.0,23.25,
3288.HK,广东海天集团股份有限公司,3244798674.0,55.45,
3296.HK,上海奥勤信息科技有限公司,321300000.0,29.91,
3317.HK,珠海恩圆科技合伙企业(有限合伙),39230214.0,12.16,
3355.HK,向伟,203928528.0,50.27,
3378.HK,蔡张生物科技(杭州)有限责任公司,55300000.0,40.6,
3625.HK,上海傅里叶管理咨询合伙企业(有限合伙),12617800.0,11.27,
3636.HK,袁荣,101230612.0,66.35,
3677.HK,常熟正力投资有限公司,460690543.0,18.04,
3696.HK,Mesolite Gem Investments Ltd,46383400.0,8.32,
3750.HK,厦门瑞庭投资有限公司,1024704949.0,22.45,
3858.HK,恒兆国际有限公司,142800000.0,31.34,
3880.HK,琪康国际有限公司,59567875.0,42.01,
3881.HK,新驱动香港有限合伙,11443151.0,26.13,
3887.HK,GDZ International Limited,1072203049.0,38.78,
3986.HK,香港赢富得有限公司,58811513.0,8.39,
6031.HK,三一集团有限公司,2496685089.0,27.15,
6082.HK,上海壁立仞企业管理咨询合伙企业(有限合伙),191221400.0,7.84,
6086.HK,Fangrong Management Limited,246538362.0,18.39,
6090.HK,WANGBOYAN HOLDING INC,42240920.0,46.55,
6166.HK,Cambridge Industries Company Limited,32025735.0,9.08,
6168.HK,深圳若水联合投资有限公司,138677353.0,31.47,
6181.HK,北京红乔金季咨询顾问有限公司,56101300.0,31.81,
6600.HK,李志晨,43648450.0,19.64,
6603.HK,"General Beverage Co., Ltd.",160000000.0,60.0,
6613.HK,蓝思科技(香港)股份有限公司,2804509821.0,53.07,
6636.HK,陈振杰,16114821.0,14.27,
6651.HK,LS 51World Holding Limited,66209905.0,16.294,
6656.HK,麦廪(嘉兴)企业管理合伙企业(有限合伙),49145280.0,19.91,
6657.HK,陈杰,58700000.0,25.98,
6676.HK,Fatcat International Limited,167113494.0,15.6,
6681.HK,ZTan Limited,275468000.0,20.28,
6687.HK,Black Tea Limited,81620500.0,18.71,
6693.HK,李金阳,190410595.0,10.02,
6809.HK,"WLT Partners, L.P.",45012524.0,3.68,
6810.HK,林喆,98584276.0,24.49,
6831.HK,Time Sonic Investments Limited,365600000.0,54.29,
6871.HK,张赛,24611704.0,10.05,
6883.HK,颖通国际有限公司,1000000000.0,73.72,
6887.HK,宜昌东阳光药研发有限公司,126238500.0,21.89,
6936.HK,深圳明德控股发展有限公司,2361920119.0,46.87,
6938.HK,梁子才,14546306.0,8.53,
6959.HK,Advancey Limited,72500000.0,35.86,
6960.HK,杨善基,138310000.0,33.18,
6980.HK,王文彬,19285500.0,22.69,
7489.HK,东风汽车集团有限公司,2150954223.0,58.45,
7618.HK,JD Industrial Technology Limited,1906574307.0,70.94,
7630.HK,Decheng IMPACT Limited,23559685.0,8.53,
7666.HK,Scientia HK Limited,121334260.0,10.53,
7688.HK,,,,
8529.HK,Sino Success Ventures Limited,193125000.0,37.68,
8549.HK,Mini Universe Holdings Limited,258000000.0,64.5,
8610.HK,BBSB Overseas Private Ltd,375000000.0,75.0,
8629.HK,信宜市建设工程质量安全事务中心,19000000.0,56.0,
8637.HK,SGP Capital Holdings Limited,56272335.0,37.51,
9606.HK,"LAV Fund VI, L.P.",7873521.0,8.81,
9609.HK,宋文兰,61020000.0,38.34,
9611.HK,昆山龙旗投资管理中心(有限合伙),95793544.0,18.33,
9639.HK,荣利绿色发展有限公司,750000000.0,75.0,
9660.HK,Everest Robotics Limited,1733612127.0,11.83,
9678.HK,云思尚义(天津)企业管理合伙企业(有限合伙),16710714.0,23.47,
9680.HK,广州汽车工业集团有限公司,46302391.0,22.68,
9879.HK,米高控股有限公司(英属维尔京群岛),675000000.0,74.26,
9881.HK,厦门容信投资有限公司,36496505.0,38.53,
9887.HK,南京礼至企业管理咨询中心(有限合伙),12845442.0,6.46,
9903.HK,福建大钲一期投资合伙企业(有限合伙),18269383.0,7.18,
9927.HK,重庆小康控股有限公司,400503464.0,22.99,
9973.HK,芜湖市投资控股集团有限公司,1157771424.0,19.93,
9980.HK,林木勤,258657634.0,45.8,
9981.HK,周和平,139563801.0,9.97,
