code,name,listing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_date,board,offering_type,is_latest,offer_price_low,offer_price_high,issue_price,board_lot,market_cap_hkdm,offer_shares,public_offer_shares,placing_shares,gross_proceeds_hkd,net_proceeds_hkd,proceeds_currency,use_of_proceeds,public_subscription_multiple,international_subscription_multiple,valuation_metric,source_table
6871.HK,翼菲科技,2026-05-18,2026-05-08,2026-05-08,2026-05-13,2026-05-08,2026-05-15,主板,"发售以供认购,发售以供配售",是,,,30.5,100,3080.75,24600000,1230000,23370000,,,HKD,所得款项净额的约40.0%将于2026年至2030年用于公司机器人技术的开发;所得款项净额的约28.0%将用于2026年至2030年的生产基地及生产线建设或优化;所得款项净额的约12.0%将用于2026年至2030年发展海外业务网络;所得款项净额的约10.0%将用于2026年至2030年供应链上下游的投资;所得款项净额的约10.0%将用于2026年至2030年补充营运资金。,,,,首发信息一览
7630.HK,英派药业-B,2026-05-13,2026-05-05,2026-05-05,2026-05-08,2026-05-11,2026-05-12,主板,"发售以供认购,发售以供配售",是,19.75,21.75,,200,4393.88,41977000,4197800,37779200,,,HKD,约51%将用于为公司核心产品塞纳帕利正在进行及计划中的临床开发、监管批准以及商业化提供资金。约31%将用于为公司的关键产品IMP1734及IMP9064正在进行的临床开发提供资金。约8%将用于为公司其他管线资产、IMP1707、IMP7068、IMP22、IMP25、IMP08、IMP13及IMP10的研发活动提供资金。约8%将用于为公司研发平台的开发及扩大公司的药物管线提供资金。约2%将用于营运资金及其他一般公司用途。,,,,首发信息一览
7666.HK,剂泰科技-P,2026-05-13,2026-05-05,2026-05-05,2026-05-08,2026-05-05,2026-05-12,主板,"发售以供认购,发售以供配售",是,10.5,10.5,,500,5302.95,201229000,10061500,191167500,,,HKD,"约所得款项净额的约50.0%将用于支撑公司的人工智能基础设施及人工智能驱动纳米材料平台的核心技术研究、开发及推进;约所得款项净额的约20.0%将用于公司人工智能开发产品管线中正在进行及计划开展的临床试验,推动候选药物在多个治疗领域及治疗模式中的进展;约所得款项净额的约10.0%将用于开发公司的动物健康及抗衰解决方案,并将人工智能赋能的解决方案拓展至该等高增长领域;约所得款项净额的约10.0%将分配用于支持公司在全球构建人工智能驱动纳米材料生态系统的增长战略,原因是公司认为海外市场为公司的人工智能驱动纳米材料平台提供更大潜力;约所得款项净额的约10.0%将用作营运资金及其他一般企业用途。",,,,首发信息一览
1236.HK,乐动机器人,2026-05-11,2026-05-08,2026-04-30,2026-05-06,2026-05-07,2026-05-08,主板,"发售以供认购,发售以供配售",是,24.0,30.0,26.36,200,6060.51,33333400,3333400,30000000,878668424.0,806800000.0,HKD,"所得款项净额约45.0%将用于加强智能机器人视觉感知技术的研发,以实现人工智能功能算法结构的升级,优化公司的智能机器人视觉感知产品及智能机器人产品;所得款项净额约10.0%将分配用于品牌建设与国际拓展,以扩大海外客户群;所得款项净额约30.0%将分配用于优化生产能力及产能扩充,支持大规模出货量;所得款项净额约5.0%将分配用于探索潜在投资及收购机会,以增强公司的技术能力,实现海外规模化扩张;所得款项净额约10.0%将用作营运资金及一般公司用途。",6707.66,9.54,31.524974886317,首发信息一览
1187.HK,可孚医疗,2026-05-06,2026-05-05,2026-04-27,2026-04-30,2026-05-04,2026-05-05,主板,"发售以供认购,发售以供配售",是,,39.33,39.33,100,3972.67,27000000,2700000,24300000,1061910000.0,1007100000.0,HKD,"30.0%将用于全球拓展,30.0%将用于公司持续的产品研发及技术创新,包括公司的人工智能及物联网应用,20.0%将用于拓展公司的国内销售渠道及经销网络,10.0%将用于品牌推广及营销活动,10.0%将用于营运资金及一般公司用途。",399.08,3.4,35.763788833329,首发信息一览
1609.HK,天星医疗,2026-05-05,2026-05-04,2026-04-24,2026-04-29,2026-04-24,2026-05-04,主板,"发售以供认购,发售以供配售",是,98.5,98.5,98.5,50,4974.67,8421850,842200,7579650,829552225.0,758400000.0,HKD,"约30.0%将用于扩大公司的生产能力并提升生产效率,以便公司能够满足快速增长的市场需求。约35.0%将用于支持公司以患者为导向的产品策略的研发工作。约25.0%将用于商业化、销售及市场推广活动,以巩固公司在中国的领先地位并建立全球市场存在及品牌形象。约10.0%将用于营运资金及一般企业用途。",7823.13,10.41,34.706151261302,首发信息一览
6810.HK,商米科技-W,2026-04-29,2026-04-28,2026-04-21,2026-04-24,2026-04-21,2026-04-28,主板,"发售以供认购,发售以供配售",是,24.86,24.86,24.86,100,2511.07,42626800,4262700,38364100,1059702248.0,922000000.0,HKD,约40.0%用于为BIoT软硬件解决方案的研发提供资金;约30.0%用于拨付加强供应链及生产运营;约20.0%用于拨付实施全球市场扩张计划;约10.0%将用于营运资金及其他一般公司用途。,2003.16,7.91,27.027128473167,首发信息一览
2493.HK,迈威生物-B,2026-04-28,2026-04-27,2026-04-20,2026-04-23,2026-04-24,2026-04-27,主板,"发售以供认购,发售以供配售",是,27.64,30.71,27.64,200,6203.95,47130200,4713200,42417000,1302678728.0,1189000000.0,HKD,约56.8%将用于核心产品9MW2821针对多种适用症不同阶段的临床开发试验。约17.7%将用于针对具有大量临床需求的肿瘤和年龄相关疾病的其他管线产品的研发。约15.5%将用于商业化目的。约10.0%将用于营运资金及其他一般公司用途。,481.71,3.46,31.871108438028,首发信息一览
1879.HK,曦智科技-P,2026-04-28,2026-04-27,2026-04-20,2026-04-23,2026-04-24,2026-04-27,主板,"发售以供认购,发售以供配售",是,166.6,183.2,183.2,15,2775.71,13795215,689775,13105440,2527283388.0,2376900000.0,HKD,"约70.0%的所得款项净额将于未来五年用于研发工作,包括持续研发公司的光互连硬件及解决方案,以及光计算产品。约20.0%将用于公司的商业化工作。约10.0%所得款项净额将用于营运资金及一般企业用途。",5784.7,53.83,65.055709534067,首发信息一览
3296.HK,华勤技术,2026-04-23,2026-04-22,2026-04-15,2026-04-20,2026-04-21,2026-04-22,主板,"发售以供认购,发售以供配售",是,,77.7,77.7,100,7848.36,58548200,5854900,52693300,4549195140.0,4463100000.0,HKD,"约40.0%将用于以产品为核心的研发投入,增强技术实力。约35.0%将用于扩大及优化公司的制造体系。约15.0%将用于战略投资与垂直整合。约10.0%将用于营运资金及一般公司用途。",531.33,13.34,49.95900813347,首发信息一览
2476.HK,胜宏科技,2026-04-21,2026-04-22,2026-04-13,2026-04-16,2026-04-16,2026-04-20,主板,"发售以供认购,发售以供配售",是,,209.88,209.88,100,21199.67,83348000,8334800,75013200,23134547700.0,22879790000.0,HKD,"所得款项净额约74.0%,预期将用于扩展公司在中国内地的生产;所得款项净额约7.0%,预期将用于购买mSAP制造设备及其他机器的智能制造设备,以进一步多样化公司的产品组合,保持在先进PCB技术领域的竞争优势;所得款项净额约9.0%,预期将于五年期间用于研发活动。所得款项净额约10.0%,预期将用作营运资金及一般公司用途。",431.15,18.5,33.768835450368,首发信息一览
3277.HK,长光辰芯,2026-04-17,2026-05-08,2026-04-09,2026-04-14,2026-04-09,2026-04-16,主板,"发售以供认购,发售以供配售",是,39.88,39.88,39.88,100,4028.23,65294200,6529500,58764700,2994521404.0,2883400000.0,HKD,"约55.0%预计将用于增加公司的研发投资,以推动持续创新并支持公司在主要应用场景(即工业成像、科学成像、专业影像及医疗成像解决方案)的持续研发及产品迭代;约21.0%预计将用于建立一个先进的CMOS图像传感器研发中心;约4.0%预计用于扩展公司的封装及测试生产线;约10.0%预计用于通过战略性地域扩张,增强公司的海外运营;约10.0%预计用于营运资金及一般企业用途。",1138.21,22.69,43.479034696524,首发信息一览
0068.HK,群核科技,2026-04-17,2026-04-20,2026-04-09,2026-04-14,2026-04-15,2026-04-16,主板,"发售以供认购,发售以供配售",是,6.72,7.62,7.62,500,3848.43,160619000,16062000,144557000,1407501630.0,1266400000.0,HKD,所得款项净额约30.0%将用于实施公司的国际扩张策略;所得款项净额约20.0%将用于增强现有产品的功能;所得款项净额约20.0%将用于支持公司的国内销售及市场推广活动;所得款项净额约20.0%将用于投资公司的核心技术及基础设施;所得款项净额约10.0%将用作营运资金及一般企业用途。,1590.56,14.46,32.293016953735,首发信息一览
6656.HK,思格新能,2026-04-16,2026-04-15,2026-04-08,2026-04-13,2026-04-08,2026-04-15,主板,"发售以供认购,发售以供配售",是,324.2,324.2,324.2,100,32746.96,13573900,1357400,12216500,4400658380.0,4189900000.0,HKD,"约38.0%将用于进一步扩大公司的研发团队及提升公司的研发设备及技术;约32.0%将用于加强公司的营销及售后服务,以推动扩大公司的全球客户群和业务覆盖范围;约12.0%将用于扩张产能;约9.0%将用于多元化公司的产品组合及扩展公司的工商业光储充解决方案;约9.0%将用于营运资金及一般公司用途。",1102.05,31.2,49.813602413737,首发信息一览
0664.HK,铜师傅,2026-03-31,2026-04-30,2026-03-23,2026-03-26,2026-03-27,2026-03-30,主板,"发售以供认购,发售以供配售",是,60.0,68.0,60.0,100,6868.57,7406800,740700,6666100,444408000.0,390160000.0,HKD,"所得款项净额约38.0%分配用于提升公司的产品开发及设计能力,其乃公司增长策略的基础;所得款项净额约24.0%分配用于提升公司的内部产能及加强需求预测与制造产出的一致性,从而提高履约灵活性并支持长期产品供应;所得款项净额约24.0%分配用于扩大及加强公司的零售及营销基础设施,重点巩固公司在中国的直营店网络、加快国际化布局及增强公司的数字化营销和内容开发能力;所得款项净额约4.0%分配用于加强公司的数字化和信息基础设施;所得款项净额约10.0%将保留用于一般营运资金及运营灵活性。",59.55,1.47,6.7505535453907,首发信息一览
3625.HK,傅里叶,2026-03-31,2026-03-30,2026-03-23,2026-03-26,2026-03-27,2026-03-30,主板,"发售以供认购,发售以供配售",是,40.0,50.0,40.0,100,5050.43,12000000,600000,11400000,480000000.0,422700000.0,HKD,"所得款项净额约46.8%,将于未来五年用于建立一个新的研发中心,以提升公司功放音频芯片的研发能力及技术竞争力。所得款项净额约17.8%将用于采购自动测试设备及建设内部自动测试验证线,以及招聘供应链管理工程师。所得款项净额约17.3%将用于寻求策略性收购及合作,以加强公司的产业整合,并巩固公司在功放音频芯片行业的地位。所得款项净额约8.1%将用于产品的营销及销售。所得款项净额约10.0%将用作营运资金及其他一般企业用途。",3118.43,2.93,,首发信息一览
1021.HK,华沿机器人,2026-03-30,2026-04-26,2026-03-20,2026-03-25,2026-03-20,2026-03-27,主板,"发售以供认购,发售以供配售",是,17.0,17.0,17.0,200,3434.29,80785000,4039400,76745600,1808317200.0,1698870000.0,HKD,"所得款项净额约55.0%,将于未来五年用于提升公司的研发能力。所得款项净额约20.0%,将于未来五年用于海外业务发展,强化公司的市场领导地位,推进公司加强销售渠道和加快市场扩张步伐的商业策略。所得款项净额约15.0%,将于未来五年用于升级并扩建生产能力。所得款项净额约10.0%,将用于营运资金及一般企业用途。",5059.38,16.65,42.560329570498,首发信息一览
2726.HK,瀚天天成,2026-03-30,2026-03-27,2026-03-20,2026-03-25,2026-03-20,2026-03-27,主板,"发售以供认购,发售以供配售",是,76.26,76.26,76.26,50,3851.46,21492050,2149250,19342800,1638983733.0,1559500000.0,HKD,"所得款项净额的约71%,将用于在未来五年以严谨且审慎的方式扩大碳化硅外延晶片产能,以满足不断增长的市场需求；所得款项净额的约19%,将用于碳化硅外延晶片研发,以提升公司的技术能力并巩固公司的技术优势；所得款项净额的约10%,将用作营运资金及一般公司用途。",50.66,1.95,47.273014777383,首发信息一览
2526.HK,德适-B,2026-03-30,2026-03-27,2026-03-20,2026-03-25,2026-03-26,2026-03-27,主板,"发售以供认购,发售以供配售",是,95.6,112.5,99.0,50,5681.73,7999200,799950,7199250,791920800.0,719800000.0,HKD,约49.0%将分配至公司核心产品AI Auto Vision的研发及商业化。约10.0%将于上市后未来三年分配至公司其他医学影像软件候选产品及医疗器械的进一步研发。约20.0%将分配至加强公司的iMedImage基座模型及AI技术。约8.0%将分配至加强公司在中国的商业化能力及市场渗透。约5.0%将分配至透过聘请约两名初级当地销售代表、八名中级当地销售代表及九名资深当地销售代表扩大公司在全球市场的业务。约8.0%将分配至寻求医疗价值链中的上下游参与者的战略合作及投资机遇。,1073.37,3.45,,首发信息一览
6636.HK,极视角,2026-03-30,2026-03-27,2026-03-20,2026-03-25,2026-03-20,2026-03-27,主板,"发售以供认购,发售以供配售",是,40.0,40.0,40.0,50,2020.16,12480000,624000,11856000,499200000.0,434400000.0,HKD,约60.0%的所得款项净额预期将用于增强公司的研发能力;约30.0%的所得款项净额预期将用于提升公司的商业化能力;约10.0%的所得款项净额预期将用于营运资金及一般企业用途。,4591.37,3.41,9.4551282051282,首发信息一览
2729.HK,凯乐士科技,2026-03-24,2026-04-20,2026-03-16,2026-03-19,2026-03-20,2026-03-23,主板,"发售以供认购,发售以供配售",是,16.4,20.4,16.66,200,4121.15,36798000,3679800,33118200,613054680.0,555700000.0,HKD,"约24.5%未来六年内用于推进公司的核心机器人产品线(例如改善现有产品及开发新产品),以加强公司的市场地位、扩大公司的解决方案服务范围,并强化公司在场内物流机器人领域的领导地位。约20.5%将用于公司底层技术的研发(例如数字孪生技术、大模型技术及结合AI技术的机器人技术)及软件能力开发,以加强公司的技术能力并提升公司的产品性能,使公司能够为客户提供更智能高效的解决方案。约25.0%将用于扩大产能及提升制造能力(例如扩大制造能力及升级公司的生产系统)。约20.0%将用于支持公司的市场开发计划,包括有选择的海外业务扩张,旨在加强公司的品牌知名度及提升公司服务跨国客户的能力。约10.0%将用作营运资金及其他一般公司用途,以支持公司的日常营运及整体业务增长。",2153.26,3.37,,首发信息一览
2632.HK,泽景股份,2026-03-24,2026-03-23,2026-03-16,2026-03-19,2026-03-20,2026-03-23,主板,"发售以供认购,发售以供配售",是,42.0,48.0,44.2,50,2424.2,16226500,1622650,14603850,717211300.0,649670000.0,HKD,"预计所得款项净额的约46.7%将用于生产线扩展及自动化、智能化升级。预计所得款项净额的约32.4%将用于提升公司的研发及技术能力,以及升级公司的现有解决方案及开发基于同源技术的新产品。预计所得款项净额的约10.9%将用于与专注于光学成像、近眼显示、可穿戴产品等其他相关领域的产业价值链参与者的潜在战略合作,旨在巩固及提升公司的领先市场地位及技术能力。预计所得款项净额的约10.0%将用于营运资金及一般公司用途。",68.89,1.34,15.329861646073,首发信息一览
3355.HK,飞速创新,2026-03-23,2026-04-17,2026-03-13,2026-03-18,2026-03-19,2026-03-20,主板,"发售以供认购,发售以供配售",是,35.2,41.6,41.6,100,4201.96,40000000,4000000,36000000,1900109120.0,1787130000.0,HKD,"所得款项净额约40.0%将用于未来五年公司技术平台的数智化强化研发,战略重点包括(i)强化产品及解决方案开发能力;(ii)推进底层系统架构;及(iii)开发新的协议功能;所得款项净额约30.0%将用于提升公司于主要海外市场的交付能力;所得款项净额约20.0%将用于公司网络解决方案和服务业务平台的数字化;所得款项净额约10.0%将用作营运资金及一般企业用途。",1579.71,10.92,37.055024608271,首发信息一览
2701.HK,国民技术,2026-03-23,2026-03-20,2026-03-13,2026-03-18,2026-03-19,2026-03-20,主板,"发售以供认购,发售以供配售",是,,10.8,10.8,200,2181.78,95000000,9500000,85500000,1026000000.0,943900000.0,HKD,"约50.8%用于增强公司的研发能力,开发新产品系列及提升产品性能,包括高性能MCU、多协议通信芯片、专业市场芯片、车规级芯片等。约9.2%用于升级公司的现有产品组合。约15.0%的所得款项净额或141.6百万港元将用于开展战略投资及收购。约15.0%用于偿还部分尚未偿还银行贷款。约10.0%用于营运资金及其他一般公司用途。",131.83,2.51,13.64522417154,首发信息一览
1989.HK,广合科技,2026-03-20,2026-03-19,2026-03-12,2026-03-17,2026-03-18,2026-03-19,主板,"发售以供认购,发售以供配售",是,,71.88,71.88,100,7260.49,46000000,4600000,41400000,3306480000.0,3185260000.0,HKD,"约19.7%的所得款项净额预期将用于购置及安装先进的生产设备,以及优化专注于算力场景PCB的泰国基地二期的生产工艺及产品质量,进而提升公司的生产能力;约52.1%的所得款项净额预期将用于扩建及升级公司在广州基地的生产设施,尤其是HDIPCB的产能;约10.0%的所得款项净额预期将用于提升公司在开发材料技术、改良生产工艺及产品开发方面的研发能力;约8.2%的所得款项净额预期将用于寻求与公司业务互补及符合公司发展策略的战略合作伙伴关系、投资或收购项目;约10.0%的所得款项净额预期将用作营运资金及一般企业用途。",1070.72,14.64,44.94204652682,首发信息一览
7489.HK,岚图汽车,2026-03-19,2026-02-12,,,,,主板,介绍,是,,,,,,,,,,,,,,,,首发信息一览
3268.HK,美格智能,2026-03-10,2026-03-09,2026-02-27,2026-03-05,2026-03-06,2026-03-09,主板,"发售以供认购,发售以供配售",是,,28.86,28.86,100,2915.1,35000000,3500000,31500000,1161615000.0,1090800000.0,HKD,"所得款项净额约55%将用于提升公司的研发及创新能力;所得款项净额约10%将用于拓展公司的海外销售网络及在海外市场推广公司的产品;所得款项净额约10%将用于战略投资及╱或收购,以实现公司的长期增长战略;所得款项净额约15%将用于偿还2025年6月后到期的若干计息银行借款(利率介乎1.95%及2.27%),以优化公司的财务结构并降低借款成本;所得款项净额约10%将用于营运资金及一般公司用途。",174.12,4.5,39.472518863823,首发信息一览
2715.HK,埃斯顿,2026-03-09,2026-04-07,2026-02-27,2026-03-04,2026-03-05,2026-03-06,主板,"发售以供认购,发售以供配售",是,15.36,17.0,15.36,200,3434.29,96780000,9678000,87102000,1486540800.0,1411530000.0,HKD,"约25.0%的所得款项净额,将用于扩充公司的全球生产能力,约25.0%的所得款项净额,将用于在全球产业链上下游有选择地寻求战略联盟、投资及收购机会,约20.0%的所得款项净额,将投资于研发项目,以推动下一代工业机器人技术的发展,旨在巩固公司的市场领导地位,约10.0%的所得款项净额,将用于提升公司的全球服务能力及开发组织范围内的数字化管理系统,旨在提升公司的全球品牌认知度并强化公司在国际市场中的核心竞争力,约10.0%的所得款项净额,将用于部分偿还现有贷款,剩余约10.0%的所得款项净额,将用于营运资金及一般企业用途。",19.67,3.34,35.181442446787,首发信息一览
2692.HK,兆威机电,2026-03-09,2026-03-06,2026-02-27,2026-03-04,2026-03-05,2026-03-06,主板,"发售以供认购,发售以供配售",是,,73.68,71.28,100,7442.31,26748300,2674900,24073400,1906618824.0,1827730000.0,HKD,"所得款项净额的约35.0%,将用于在全球范围进行技术研发及扩展公司的产品组合。约30.0%,将用于在全球范围扩大公司的产能及提高生产效率。约15.0%,将用于有选择地开展全球战略合作、投资及并购,以增强公司在一体化微型传动与驱动系统及人形机器人等高增长应用场景领域的全球竞争力。约10.0%,将用于扩大公司的全球服务及销售网络及加大全球营销力度。约10.0%,将用作营运资金及一般企业用途。",1536.76,13.4,34.173012864369,首发信息一览
2649.HK,优乐赛共享,2026-03-09,2026-03-06,2026-02-27,2026-03-04,2026-03-05,2026-03-06,主板,"发售以供认购,发售以供配售",是,11.0,14.0,11.0,500,7070.6,20336000,2034000,18302000,223696000.0,175520000.0,HKD,约25.0%将用于完善和升级数字系统和平台；约25.0%将用于推进公司的海外扩张战略；约20.0%将用于扩展公司在全国范围内的服务网络；约20.0%将用于通过收购将公司服务的应用场景拓展至其他下游行业；约10.0%将用于一般企业用途和营运资金。,5297.23,4.2,,首发信息一览
2706.HK,海致科技集团,2026-02-13,2026-02-12,2026-02-05,2026-02-10,2026-02-11,2026-02-12,主板,"发售以供认购,发售以供配售",是,25.6,28.0,27.06,200,5656.48,28030200,2803200,25227000,758497212.0,655400000.0,HKD,"约45.0%将用于研发以强化图模融合技术。约20.0%将用于优化Atlas智能体。约15.0%将用于深化与客户的合作,探索新应用场景以及拓展香港及新加坡市场。约10.0%将用于战略投资、合并及收购。约10.0%将用于营运资金及一般公司用途。",5065.06,8.39,15.419898471558,首发信息一览
9981.HK,沃尔核材,2026-02-13,2026-02-12,2026-02-05,2026-02-10,2026-02-11,2026-02-12,主板,"发售以供认购,发售以供配售",是,,20.09,20.09,200,4058.53,139988800,13999000,125989800,2812374992.0,2733600000.0,HKD,"45%将用于实现产品组合多元化及升级产品以扩展业务范围并增加市场份额及渗透率,从而巩固公司于电子通信及电力传输行业的领先地位;27%将用于拓展全球业务版图、提升中国及马来西亚产能,以满足快速增长的海外市场不断增加的需求;18%将用于潜在战略投资及╱或收购;10%将用于营运资金及一般企业用途。",569.58,8.19,34.49941792115,首发信息一览
0470.HK,先导智能,2026-02-11,2026-03-08,2026-02-03,2026-02-06,2026-02-09,2026-02-10,主板,"发售以供认购,发售以供配售",是,,45.8,45.8,100,4626.19,93616000,9361600,84254400,4949074720.0,4814400000.0,HKD,"约40%,将用于扩大全球研发、销售及服务网络以及选择性实施战略举措,以作为公司全球化战略的重要部分;约30%,将用于深化公司的平台化战略;约10%,将用于公司的产品设计及制造流程、智能装备技术优化的研发,以提高其性能及运行的稳定性,并降低能源消耗,以协助客户进一步提升生产效率及产品性能;约10%,将用于提升公司的数字化基础设施及改善各业务流程(如供应链管理、研发、生产、质量控制、销售及运营)的数字化能力,以提升运营效率;约10%,将用作营运资金及一般企业用途。",79.54,10.47,43.316430268,首发信息一览
0600.HK,爱芯元智,2026-02-10,2026-03-08,2026-01-30,2026-02-05,2026-01-30,2026-02-09,主板,"发售以供认购,发售以供配售",是,28.2,28.2,28.2,100,2848.44,104915200,10491600,94423600,2991774660.0,2830280000.0,HKD,"约60.0%将用于投资优化公司现有的技术平台,主要以逐步提升现有产品的高性能及高效率,并在未来四年推出新产品；约15.0%将用于在未来四年投资研发项目,主要以开发扩大公司的业务范围的新技术；约5.0%将用于未来四年公司的销售扩张；约10.0%将用于股权投资或收购,旨在在未来四年进一步整合上下游行业资源；约10.0%将用于营运资金及其他一般公司用途。",104.82,6.8,48.219874955422,首发信息一览
2720.HK,乐欣户外,2026-02-10,2026-02-09,2026-01-31,2026-02-05,2026-02-06,2026-02-09,主板,"发售以供认购,发售以供配售",是,11.25,12.25,12.25,500,6186.78,28205000,2820500,25384500,345511250.0,285200000.0,HKD,"所得款项净额约45.0%将用作品牌开发及推广；所得款项净额约25.0%将用作产品设计及开发及建立全球钓鱼用具创新中心；所得款项净额约20.0%将用作升级生产设施,并提升公司的数字化能力；所得款项净额约10.0%将用作营运资金及一般企业用途。",3654.23,2.94,37.625402935505,首发信息一览
6809.HK,澜起科技,2026-02-09,2026-02-10,2026-01-30,2026-02-04,2026-02-05,2026-02-06,主板,"发售以供认购,发售以供配售",是,,106.89,106.89,100,10796.8,65890000,6589000,59301000,8099429415.0,7947800000.0,HKD,"约70.0%将在未来五年内用于投资互连类芯片领域的研发,提升公司的全球领先地位,把握云计算和AI基础设施领域的机遇;约5.0%将用于提高公司的商业化能力;约15.0%将用于战略投资及╱或收购,以实现公司的长期增长策略;约10.0%将用于营运资金及一般公司用途。",707.3,37.67,43.324718572166,首发信息一览
